project,neighbourhood,leads,registered_leads,subscribers,conversion_pct
Dey and Bergen,Harrison Polygon,48,18,1,2.1
220 East 72nd Street,Floating NY 2,45,19,1,2.2
829 Garfield,Floating Jersey,39,23,0,0.0
Union Channel ,Boerum Hill Polygon,38,13,4,10.5
The Landing,Brooklyn Heights Polygon,31,12,3,9.7
Waters Edge,Harrison Polygon,31,10,1,3.2
Arabella 101,Floating NY 2,20,12,0,0.0
Biscayne SFR,Unknown,17,5,0,0.0
Quantum on the Bay Condominium,Edgeater Polygon,15,5,0,0.0
Aria on the Bay Condominium Association  INC,Edgeater Polygon,14,1,0,0.0
The Bergen,Boerum Hill Polygon,14,8,2,14.3
Cite On The Bay,Edgeater Polygon,13,5,1,7.7
1800 North Bayshore Drive,Edgeater Polygon,12,1,1,8.3
1 River Place,Hell's Kitchen Polygon,10,6,4,40.0
Rothschild 80,Unknown,10,7,0,0.0
Opera Tower,Edgeater Polygon,5,2,1,20.0
Biscayne SFR,The Ocean Club Polygon,5,1,0,0.0
Club Tower I,The Ocean Club Polygon,4,2,0,0.0
Flow Miami,Flow Brickell Polygon,4,0,0,0.0
2001 Biscayne Boulevard,Edgeater Polygon,3,0,1,33.3
1800 Club,Edgeater Polygon,3,0,0,0.0
1800 Biscayne Plaza,Edgeater Polygon,3,1,0,0.0
Key Colony 3 Emeraldbay,The Ocean Club Polygon,3,1,0,0.0
22 Skyview Apartments,Edgeater Polygon,3,0,0,0.0
Key Colony 1 Tidemark,The Ocean Club Polygon,3,1,1,33.3
Quantum on the Bay,Edgeater Polygon,3,0,0,0.0
Lake Tower,The Ocean Club Polygon,2,1,0,0.0
Elysee Miami,Edgeater Polygon,2,1,0,0.0
Botanica at Key Colony,The Ocean Club Polygon,2,0,0,0.0
Key Colony 2. Ocean Sound,The Ocean Club Polygon,2,0,0,0.0
1717 North Bayshore Drive,Edgeater Polygon,2,0,0,0.0
Towers of Key Biscayne,The Ocean Club Polygon,1,0,0,0.0
655 Union,Floating NY 2,1,1,0,0.0
Venetia Condominium,Edgeater Polygon,1,0,0,0.0
655 Union,Williamsburg Polygon,1,1,0,0.0
544 Carroll,Boerum Hill Polygon,1,0,0,0.0
Mirador 1000,Miami Beach Polygon,1,1,0,0.0
Ocean Tower Two,The Ocean Club Polygon,1,0,0,0.0
Governors Lodge Condo,The Ocean Club Polygon,1,0,0,0.0
20 Broad Street,Hell's Kitchen Polygon,1,1,0,0.0
Cape Florida Club Condo Phase,The Ocean Club Polygon,1,0,0,0.0
Bay Parc,Edgeater Polygon,1,0,0,0.0
The Atelier Condo NYC,Hell's Kitchen Polygon,1,0,0,0.0
251 NE 20th St apt 3506,Edgeater Polygon,1,1,0,0.0
1 Boerum Place,Brooklyn Heights Polygon,1,0,0,0.0
55 Ocean Lane Drive,The Ocean Club Polygon,1,0,0,0.0
